"Brand Name,Tier,Main Region"
"Emaar Properties,Tier-1,Dubai"
"DAMAC Properties,Tier-1,Dubai"
"Nakheel Properties,Tier-1,Dubai"
"Aldar Properties,Tier-1,Abu Dhabi"
"Sobha Realty,Tier-1,Dubai"
"Meraas,Tier-1,Dubai"
"Dubai Properties,Tier-1,Dubai"
"Binghatti Developers,Tier-1,Dubai"
"Danube Properties,Tier-1,Dubai"
"Azizi Developments,Tier-1,Dubai"
"Select Group,Tier-2,Dubai"
"Ellington Properties,Tier-2,Dubai"
"Omniyat,Tier-2,Dubai"
"Arada,Tier-2,Sharjah/Dubai"
"Majid Al Futtaim,Tier-2,Dubai"
"Deyaar Development,Tier-2,Dubai"
"MAG Property Development,Tier-2,Dubai"
"Nshama,Tier-2,Dubai"
"Tiger Group,Tier-2,Dubai"
"Samana Developers,Tier-2,Dubai"
"Seven Tides,Tier-2,Dubai"
"Union Properties,Tier-2,Dubai"
"RAK Properties,Tier-2,Ras Al Khaimah"
"Reportage Real Estate,Tier-2,Abu Dhabi/Dubai"
"Iman Developers,Tier-2,Dubai"
"Aqua Properties,Tier-3,Dubai"
"London Gate,Tier-3,Dubai"
"Vincitore Realty,Tier-3,Dubai"
"Object 1,Tier-3,Dubai"
"LEOS Developments,Tier-3,Dubai"
"Pantheon Development,Tier-3,Dubai"
"H&H Development,Tier-3,Dubai"
"Sankari Properties,Tier-3,Dubai"
"Prescott Real Estate,Tier-3,Dubai"
"Devmark Group,Tier-3,Dubai"
"Wasl Properties,Tier-3,Dubai"
"Dar Global,Tier-3,Dubai"
"Al Barari,Tier-3,Dubai"
"Al Habtoor Group,Tier-3,Dubai"
"Aark Developers,Tier-3,Dubai"
"Zabeel Properties,Tier-3,Dubai"
"Swiss Property,Tier-3,Dubai"
"Grosvenor Real Estate,Tier-3,Dubai"
"Taraf Holding,Tier-3,Dubai"
"DHG Properties,Tier-3,Dubai"
"Prestige One,Tier-3,Dubai"
"Khamas Group,Tier-3,Dubai"
"Invesca Real Estate,Tier-3,Dubai"
"Zenith Developer,Tier-3,Dubai"
"Aces Property,Tier-3,Dubai"
